March 2020,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AUSTRALIA
Hepatitis (NEC),0,0,0,0,0,0,0,0,0
Hepatitis B (newly acquired),0,0,0,4,0,0,0,2,6
Hepatitis B (unspecified),7,149,0,71,6,5,1,41,280
Hepatitis C (newly acquired),0,0,0,28,0,0,0,4,32
Hepatitis C (unspecified),14,222,15,170,4,13,21,77,536
Hepatitis D,0,0,0,0,0,0,0,0,0
Botulism,0,0,0,0,0,0,0,0,0
Campylobacteriosis,55,703,31,669,132,98,14,172,1874
Cryptosporidiosis,3,70,8,214,10,0,37,122,464
Haemolytic uraemic syndrome (HUS),0,0,0,0,0,0,0,0,0
Hepatitis A,0,0,0,1,1,0,12,0,14
Hepatitis E,0,1,0,3,0,0,0,0,4
Listeriosis,0,1,0,0,0,0,0,1,2
Paratyphoid,0,4,0,2,0,0,3,0,9
STEC,0,11,0,2,13,0,6,15,47
Salmonellosis,13,284,35,449,63,29,116,139,1128
Shigellosis,3,55,45,36,9,0,31,23,202
Typhoid Fever,0,3,0,3,1,1,7,0,15
Legionellosis,0,10,0,4,1,1,13,4,33
Leprosy,0,0,0,0,0,0,0,0,0
Meningococcal disease (invasive),0,1,0,0,0,1,1,0,3
Tuberculosis,0,37,0,22,2,0,33,13,107
COVID-19,80,1968,14,739,308,72,709,352,4242
Cholera,0,0,0,0,0,0,0,0,0
Middle East respiratory syndrome coronavirus,0,0,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0,0,0
Smallpox,0,0,0,0,0,0,0,0,0
Viral haemorrhagic fever (NEC),0,0,0,0,0,0,0,0,0
Yellow fever,0,0,0,0,0,0,0,0,0
Chlamydial infection,144,1708,165,1679,396,1,0,824,4917
Donovanosis,0,0,0,0,0,0,0,0,0
Gonococcal infection,28,632,65,509,128,11,1,280,1654
Syphilis < 2 years,4,20,17,60,11,0,13,43,168
Syphilis > 2 years or unspecified duration,1,2,6,12,2,2,55,14,94
Syphilis congenital,0,0,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0,0,0
Haemophilus influenzae type b,0,1,0,0,0,0,0,1,2
Influenza,31,1393,85,2118,481,38,928,209,5283
Measles,0,0,0,0,0,0,0,0,0
Mumps,0,7,0,7,1,0,0,1,16
Pertussis,3,292,2,86,45,3,2,11,444
Pneumococcal disease (invasive),1,22,1,12,15,0,18,9,78
Poliovirus infection,0,0,0,0,0,0,0,0,0
Rotavirus,5,16,6,35,33,3,18,16,132
Rubella,0,0,0,2,0,0,0,0,2
Rubella congenital,0,0,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,0,0,0
Chickenpox,15,0,17,0,29,1,1,22,85
Shingles,28,0,40,1,142,19,2,119,351
Varicella,12,0,7,809,84,25,2,152,1091
Barmah Forest virus infection,0,14,0,30,0,0,0,4,48
Chikungunya,0,0,0,0,0,0,0,0,0
Dengue,0,6,2,13,7,0,0,18,46
Flavivirus infection (unspecified),0,0,0,0,0,0,0,0,0
Japanese encephalitis virus infection,0,0,0,0,0,0,0,0,0
Malaria,0,4,0,6,1,1,0,6,18
Murray Valley encephalitis virus infection,0,0,0,0,0,0,0,0,0
Ross River virus infection,0,34,15,233,2,0,0,23,307
west nile virus,0,0,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,0,0,0,0
Australian bat lyssavirus infection,0,0,0,0,0,0,0,0,0
Brucellosis,0,0,0,2,0,0,0,0,2
Leptospirosis,0,0,0,4,0,0,0,0,4
Lyssavirus infection (NEC),0,0,0,0,0,0,0,0,0
Ornithosis,0,0,0,0,0,0,0,0,0
Q fever,0,3,0,7,0,0,0,1,11
Tularaemia,0,0,0,0,0,0,0,0,0
